Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],Title,Author,Imprint
KDP,9/1/15,9/30/15,2,6.3,USD,US,,,,,B00AVNS9S6,35%,Standard,8.99,,,6.3,The Art of Selling Real Estate,Patricia Cliff,
KDP,9/1/15,9/30/15,9,56.25,USD,US,,,,,B00AVNS9S6,70%,Standard,8.99,,,56.25,The Art of Selling Real Estate,Patricia Cliff,
KDP,9/1/15,9/30/15,1,2.06,USD,US,,,,,B00B2DTDLG,70%,Standard,2.99,,,2.06,Freeman - A Novella in Screenplay Form,Brian McDonald,
KDP,9/1/15,9/30/15,1,0,USD,US,,,,,B00B2DTDLG,70% - promo,Kindle MatchBook,2.99,,,0,Freeman - A Novella in Screenplay Form,Brian McDonald,
KDP,9/1/15,9/30/15,3,6.15,USD,US,,,,,B00B8XY8FG,70%,Standard,2.99,,,6.15,Roses in Ecuador,Heather Huffman,
KDP,9/1/15,9/30/15,1,2.04,USD,US,,,,,B00BD9HLAY,70%,Standard,2.99,,,2.04,The Romance of Grace,Jim McNeely III,
KDP,9/1/15,9/30/15,1,4.82,USD,US,,,,,B00BLS5E2Y,70%,Standard,6.99,,,4.82,The Water Sign,C.S. Samulski,
KDP,9/1/15,9/30/15,1,0,USD,US,,,,,B00BPD5M8G,70% - promo,Kindle MatchBook,7.95,,,0,Write Within Yourself: An Author's Companion,William Kenower,
KDP,9/1/15,9/30/15,3,6.12,USD,US,,,,,B00BR1L8I4,70%,Standard,2.99,,,6.12,Dizzy in Karachi: A Journey to Pakistan,Maliha Masood,
KDP,9/1/15,9/30/15,58,155.88,USD,US,,,,,B00CLDQT2W,70%,Standard,3.91,,,155.88,Riverbend,Tess Thompson,
KDP,9/1/15,9/30/15,3,10.38,USD,US,,,,,B00CLDQTQ8,70%,Standard,5.08,,,10.38,The River Valley Collection Boxed Set,Tess Thompson,
KDP,9/1/15,9/30/15,3,16.18,USD,US,,,,,B00CNXMNMK,70%,Standard,8.28,,,16.18,Redesigning Education: Shaping Learning Systems Around the Globe,Innovation Unit for The Global Education Leadersâ€™ Program,
KDP,9/1/15,9/30/15,1,1.99,USD,US,,,,,B00CUETVF4,70%,Standard,2.99,,,1.99,Charis: Journey to Pandora's Jar,Nicole Y. Walters,
KDP,9/1/15,9/30/15,56,151.23,USD,US,,,,,B00CY22D84,70%,Standard,3.94,,,151.23,Riverstar,Tess Thompson,
KDP,9/1/15,9/30/15,1,1.4,USD,US,,,,,B00CY22GOU,35%,Standard,3.99,,,1.4,Seductive Shadows,Marni Mann,
KDP,9/1/15,9/30/15,3,8.22,USD,US,,,,,B00CY22GOU,70%,Standard,3.99,,,8.22,Seductive Shadows,Marni Mann,
KDP,9/1/15,9/30/15,1835,9.30298245,USD,US,,,,,B00CY22GOU,N/A,Kindle Edition Normalized Pages (KENP) Read,N/A,,,9.30298245,Seductive Shadows,Marni Mann,
KDP,9/1/15,9/30/15,1,1.05,USD,US,,,,,B00D1VWA4O,35%,Standard,2.99,,,1.05,Changeling Eyes,L.A. Catron,
KDP,9/1/15,9/30/15,4,2.48,USD,US,,,,,B00D1VWA4O,70%,Standard,2.99,,,2.48,Changeling Eyes,L.A. Catron,
KDP,9/1/15,9/30/15,6,12.3,USD,US,,,,,B00D8GWS80,70%,Standard,2.99,,,12.3,Unsettled Spirits,Sophie Weeks,
KDP,9/1/15,9/30/15,2,4.1,USD,US,,,,,B00DIKHGFQ,70%,Standard,2.99,,,4.1,Godspeed,February Grace,
KDP,9/1/15,9/30/15,4,8.16,USD,US,,,,,B00DLTOKYE,70%,Standard,2.99,,,8.16,Fool's Game,Heather Huffman,
KDP,9/1/15,9/30/15,2,6.84,USD,US,,,,,B00E0NIHBM,70%,Standard,4.99,,,6.84,Dead of Knight,Nicole J. Persun,
KDP,9/1/15,9/30/15,1,1.64,USD,US,,,,,B00E1PLR5M,70%,Standard,2.99,,,1.64,Country Music's Jim Owen: An Amazing Life (An Unauthorized Autobiography),Jim Owen,
KDP,9/1/15,9/30/15,1,0.26,USD,US,,,,,B00E220RAK,35%,Standard,0.75,,,0.26,"Cold Company (A Marnie Baranuik ""Between the Files"" Story)",A.J. Aalto,
KDP,9/1/15,9/30/15,88,0,USD,US,,,,,B00E220RAK,N/A,Free - Price Match,0.99,,,0,"Cold Company (A Marnie Baranuik ""Between the Files"" Story)",A.J. Aalto,
KDP,9/1/15,9/30/15,3,9.18,USD,US,,,,,B00E8OP022,70%,Standard,4.63,,,9.18,Behind the Shades: Hope Beyond the Darkness,Sheila Raye Charles,
KDP,9/1/15,9/30/15,1,1.4,USD,US,,,,,B00E8OQ9R2,35%,Standard,3.99,,,1.4,Seductive Secrecy,Marni Mann,
KDP,9/1/15,9/30/15,3,8.22,USD,US,,,,,B00E8OQ9R2,70%,Standard,3.99,,,8.22,Seductive Secrecy,Marni Mann,
KDP,9/1/15,9/30/15,405,2.05324681,USD,US,,,,,B00E8OQ9R2,N/A,Kindle Edition Normalized Pages (KENP) Read,N/A,,,2.05324681,Seductive Secrecy,Marni Mann,
KDP,9/1/15,9/30/15,427,2.1647812,USD,US,,,,,B00ENIFS8O,N/A,Kindle Edition Normalized Pages (KENP) Read,N/A,,,2.1647812,Seducer Fey,Cullyn Royson,
KDP,9/1/15,9/30/15,417,2.11408374,USD,US,,,,,B00ETBLG9K,N/A,Kindle Edition Normalized Pages (KENP) Read,N/A,,,2.11408374,Josie Jameson and the Fourth Tombstone,Jennifer Hotes,
KDP,9/1/15,9/30/15,3,3.15,USD,US,,,,,B00EYMYBXW,35%,Standard,2.99,,,3.15,Just Friends with Benefits,Meredith Schorr,
KDP,9/1/15,9/30/15,81,163.5,USD,US,,,,,B00EYMYBXW,70%,Standard,2.98,,,163.5,Just Friends with Benefits,Meredith Schorr,
KDP,9/1/15,9/30/15,9,12.39,USD,US,,,,,B00F8KMR8A,35%,Standard,3.92,,,12.39,The Dark Light of Day,T.M. Frazier,
KDP,9/1/15,9/30/15,504,1361.44,USD,US,,,,,B00F8KMR8A,70%,Standard,3.99,,,1361.44,The Dark Light of Day,T.M. Frazier,
KDP,9/1/15,9/30/15,1,0.35,USD,US,,,,,B00FBEOK0Q,35%,Standard,0.99,,,0.35,Divorce as Opportunity: Stories and Support for Your Transition,Corbin Lewars,
KDP,9/1/15,9/30/15,503,2.55008183,USD,US,,,,,B00FJBLSCY,N/A,Kindle Edition Normalized Pages (KENP) Read,N/A,,,2.55008183,A Medical Affair,Anne McCarthy Strauss,
KDP,9/1/15,9/30/15,2,4.1,USD,US,,,,,B00FQSXW88,70%,Standard,2.99,,,4.1,A Chorus of Wolves,Alex Kimmell,
KDP,9/1/15,9/30/15,1,4.17,USD,US,,,,,B00FYW9104,70%,Standard,5.99,,,4.17,The Y'NEVANO Book of Encouragements,Wali Collins,
KDP,9/1/15,9/30/15,3,20.76,USD,US,,,,,B00FZ2FI46,70%,Standard,9.95,,,20.76,"Pick Up the Damn Phone! How People, Not Technology, Seal the Deal",Joanne S. Black,
KDP,9/1/15,9/30/15,1,3.45,USD,US,,,,,B00G042QFC,70%,Standard,4.99,,,3.45,Dancing on the Edge,Kit Bakke,
KDP,9/1/15,9/30/15,793,4.02030796,USD,US,,,,,B00G042QFC,N/A,Kindle Edition Normalized Pages (KENP) Read,N/A,,,4.02030796,Dancing on the Edge,Kit Bakke,
KDP,9/1/15,9/30/15,1,0,USD,US,,,,,B00G042QFC,70% - promo,Kindle MatchBook,4.99,,,0,Dancing on the Edge,Kit Bakke,
KDP,9/1/15,9/30/15,56,19.6,USD,US,,,,,B00G17HT6E,35%,Standard,0.99,,,19.6,Dirt Nap (A Marnie Baranuik â€œBetween the Filesâ€ù Story),A.J. Aalto,
KDP,9/1/15,9/30/15,1,1.75,USD,US,,,,,B00G3JI518,35%,Standard,4.99,,,1.75,These Sorrows We See (A Windsor Series Novel),Tamsen Schultz,
KDP,9/1/15,9/30/15,6,20.52,USD,US,,,,,B00G3JI518,70%,Standard,4.99,,,20.52,These Sorrows We See (A Windsor Series Novel),Tamsen Schultz,
KDP,9/1/15,9/30/15,2,9.64,USD,US,,,,,B00G4E050G,70%,Standard,6.99,,,9.64,The Shadows Series,Marni Mann,
KDP,9/1/15,9/30/15,10224,51.83307494,USD,US,,,,,B00G4E050G,N/A,Kindle Edition Normalized Pages (KENP) Read,N/A,,,51.83307494,The Shadows Series,Marni Mann,
KDP,9/1/15,9/30/15,3,1.05,USD,US,,,,,B00G9AWTJU,35%,Standard,0.99,,,1.05,The Old Cape House,Barbara Eppich Struna,
KDP,9/1/15,9/30/15,93,252.95,USD,US,,,,,B00G9AWTJU,70%,Standard,3.99,,,252.95,The Old Cape House,Barbara Eppich Struna,
KDP,9/1/15,9/30/15,2,6.88,USD,US,,,,,B00GHZA4JE,70%,Standard,4.99,,,6.88,"Blue Moon Vegetarian: Reflections, Recipes, and Advice for a Plant-Based Diet",Paula Marie Coomer,
KDP,9/1/15,9/30/15,1,2.73,USD,US,,,,,B00GJ1XZSS,70%,Standard,3.99,,,2.73,Between Boyfriends,SÃ¡rka-Jonae Miller,
KDP,9/1/15,9/30/15,1907,9.66800411,USD,US,,,,,B00GJ1XZSS,N/A,Kindle Edition Normalized Pages (KENP) Read,N/A,,,9.66800411,Between Boyfriends,SÃ¡rka-Jonae Miller,
KDP,9/1/15,9/30/15,1,2.05,USD,US,,,,,B00GURYUDA,70%,Standard,2.99,,,2.05,The Appeal of Evil,Pembroke Sinclair,
KDP,9/1/15,9/30/15,10,67.03,USD,US,,,,,B00H4EICT6,70%,Standard,9.78,,,67.03,The River Valley Trilogy,Tess Thompson,
KDP,9/1/15,9/30/15,723,3.6654258,USD,US,,,,,B00H7ML3FA,N/A,Kindle Edition Normalized Pages (KENP) Read,N/A,,,3.6654258,Between the Sheets,SÃ¡rka-Jonae Miller,
KDP,9/1/15,9/30/15,39,15.05,USD,US,,,,,B00HAHFDO4,35%,Standard,1.1,,,15.05,Swimming Upstream,Ruth Mancini,
KDP,9/1/15,9/30/15,488,994.98,USD,US,,,,,B00HAHFDO4,70%,Standard,2.99,,,994.98,Swimming Upstream,Ruth Mancini,
KDP,9/1/15,9/30/15,39621,200.8683747,USD,US,,,,,B00HAHFDO4,N/A,Kindle Edition Normalized Pages (KENP) Read,N/A,,,200.8683747,Swimming Upstream,Ruth Mancini,
KDP,9/1/15,9/30/15,4,6.38,USD,US,,,,,B00HRCI56K,35%,Standard,4.55,,,6.38,Seasons' End,Will North,
KDP,9/1/15,9/30/15,98,405.53,USD,US,,,,,B00HRCI56K,70%,Standard,5.99,,,405.53,Seasons' End,Will North,
KDP,9/1/15,9/30/15,1,3.45,USD,US,,,,,B00HS9O8PO,70%,Standard,4.99,,,3.45,Living and Dying with Dogs,Duke Miller,
KDP,9/1/15,9/30/15,1,1.75,USD,US,,,,,B00I4XAMB2,35%,Standard,4.99,,,1.75,The Girls: Sappho Goes to Hollywood,Diana McLellan,
KDP,9/1/15,9/30/15,14,44.66,USD,US,,,,,B00I4XAMB2,70%,Standard,4.99,,,44.66,The Girls: Sappho Goes to Hollywood,Diana McLellan,
