wp_id,attachment_id,fieldname,url
37211,40955,book_cover_concept,https://teamtrope.com/wp-content/uploads/2015/04/Rydin-the-Storm-Out.jpg
37211,43760,book_ebook_front_cover,https://teamtrope.com/wp-content/uploads/2015/05/Rydin-The-Storm-Out-by-PJ-Fiala-EBOOK-COVER.jpg
37211,43902,book_createspace_cover,https://teamtrope.com/wp-content/uploads/2015/03/Rydin-The-Storm-Out-by-PJ-Fiala-Create-a-Space-FINAL.pdf
37211,43762,book_lightning_source_cover,https://teamtrope.com/wp-content/uploads/2015/05/978162015892-cvr.pdf
37211,43763,book_alternative_cover_template,https://teamtrope.com/wp-content/uploads/2015/05/
37211,43043,book_final_manuscript_pdf,https://teamtrope.com/wp-content/uploads/2015/04/rydinthestormout-vcw-042915.pdf
37211,43044,book_final_doc_file,https://teamtrope.com/wp-content/uploads/2015/04/rydinthestormout-vcw-042915.docx
37211,43956,book_final_mobi,https://teamtrope.com/wp-content/uploads/2015/05/Rydin-The-Storm-Out.mobi
37211,43957,book_final_epub,https://teamtrope.com/wp-content/uploads/2015/05/Rydin-The-Storm-Out.epub
37211,43958,book_final_pdf,https://teamtrope.com/wp-content/uploads/2015/05/9781620158920_txt.pdf
37209,40043,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/04/A-Secret-Gamble-Booktrope.docx
37209,38068,book_cover_concept,https://teamtrope.com/wp-content/uploads/2015/03/ASG-mock-up-final.jpg
37207,38667,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/04/Licentious_KDP-Amazon_080514.docx
37207,42135,book_manuscript_edited,https://teamtrope.com/wp-content/uploads/2015/04/Licentious-Edited.docx
37207,39783,book_stock_cover_image,https://teamtrope.com/wp-content/uploads/2015/03/Licentious.zip
37207,39354,book_cover_concept,https://teamtrope.com/wp-content/uploads/2015/04/Licentious-new-mock-up-2.jpg
37170,43582,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/05/What-Was-tby-DH-Black.doc
