Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,Type,List Price [multi-ccy],ISBN Hardcover (use),Unit Revenue,Revenue [USD],Author,Title
Encore,4/1/15,4/30/15,2,2.04,GBP,United Kingdom,,,,,B00OA9GDEY,,KINDLE,,,,3.1376016,Will North,"Water, Stone, Heart"
Encore,4/1/15,4/30/15,317,440.58,USD,United States,,,,,B00OA9GDDK,,KU,,,,440.58,Will North,The Long Walk Home
Encore,4/1/15,4/30/15,107,148.71,USD,United States,,,,,B00OA9GDDK,,KOLL,,,,148.71,Will North,The Long Walk Home
Encore,4/1/15,4/30/15,455,632.38,USD,United States,,,,,B00OA9GDDK,,KINDLE,,,,632.38,Will North,The Long Walk Home
Encore,4/1/15,4/30/15,1,1.02,GBP,United Kingdom,,,,,B00OA9GDDK,,KU,,,,1.5688008,Will North,The Long Walk Home
Encore,4/1/15,4/30/15,2,2.04,GBP,United Kingdom,,,,,B00OA9GDDK,,KINDLE,,,,3.1376016,Will North,The Long Walk Home
Encore,4/1/15,4/30/15,10,12.89,USD,United States,,,,,B00OA9GDWG,,KINDLE,,,,12.89,A.J. Aalto,Touched
Encore,4/1/15,4/30/15,17,21.92,USD,United States,,,,,B00OA9GDWG,,KU,,,,21.92,A.J. Aalto,Touched
Encore,4/1/15,4/30/15,1,1.29,USD,United States,,,,,B00OA9GDWG,,KOLL,,,,1.29,A.J. Aalto,Touched
Encore,4/1/15,4/30/15,1,1.44,USD,Canada,,,,,B00OA9GDWG,,KINDLE,,,,1.44,A.J. Aalto,Touched
Encore,4/1/15,4/30/15,1,1.44,USD,Canada,,,,,B00OA9GDWG,,KU,,,,1.44,A.J. Aalto,Touched
Encore,4/1/15,4/30/15,6,8.48,USD,Australia,,,,,B00OA9GDWG,,KINDLE,,,,8.48,A.J. Aalto,Touched
Encore,4/1/15,4/30/15,842,244.52,GBP,United Kingdom,,,,,B00OA9GDWG,,KINDLE,,,,376.0815408,A.J. Aalto,Touched
Encore,4/1/15,4/30/15,13,3.78,GBP,United Kingdom,,,,,B00OA9GDWG,,KOLL,,,,5.8137912,A.J. Aalto,Touched
Encore,4/1/15,4/30/15,125,36.3,GBP,United Kingdom,,,,,B00OA9GDWG,,KU,,,,55.830852,A.J. Aalto,Touched
Encore,4/1/15,4/30/15,21,28.77,USD,United States,,,,,B00TG14YRE,,KU,,,,28.77,A.J. Aalto,Death Rejoices
Encore,4/1/15,4/30/15,1,1.37,USD,United States,,,,,B00TG14YRE,,KOLL,,,,1.37,A.J. Aalto,Death Rejoices
Encore,4/1/15,4/30/15,16,21.92,USD,United States,,,,,B00TG14YRE,,KINDLE,,,,21.92,A.J. Aalto,Death Rejoices
Encore,4/1/15,4/30/15,1,1.46,USD,Canada,,,,,B00TG14YRE,,KU,,,,1.46,A.J. Aalto,Death Rejoices
Encore,4/1/15,4/30/15,2,2.04,GBP,United Kingdom,,,,,B00TG14YRE,,KOLL,,,,3.1376016,A.J. Aalto,Death Rejoices
Encore,4/1/15,4/30/15,87,88.58,GBP,United Kingdom,,,,,B00TG14YRE,,KINDLE,,,,136.2395832,A.J. Aalto,Death Rejoices
Encore,4/1/15,4/30/15,63,64.15,GBP,United Kingdom,,,,,B00TG14YRE,,KU,,,,98.665266,A.J. Aalto,Death Rejoices
Encore,4/1/15,4/30/15,2,2.79,USD,United States,,,,,B00U9WWUQG,,KINDLE,,,,2.79,A.L. Waddington,Essence
Encore,4/1/15,4/30/15,6,8.38,USD,United States,,,,,B00U9WWUQG,,KU,,,,8.38,A.L. Waddington,Essence
Encore,4/1/15,4/30/15,1,1.4,USD,United States,,,,,B00U9WWUQG,,KOLL,,,,1.4,A.L. Waddington,Essence
Encore,4/1/15,4/30/15,1,1.02,GBP,United Kingdom,,,,,B00U9WWUQG,,KU,,,,1.5688008,A.L. Waddington,Essence
Encore,4/1/15,4/30/15,16,22.32,USD,United States,,,,,B00TG14ZHS,,KU,,,,22.32,Angel Sefer,Spellbound in His Arms
Encore,4/1/15,4/30/15,14,19.53,USD,United States,,,,,B00TG14ZHS,,KINDLE,,,,19.53,Angel Sefer,Spellbound in His Arms
Encore,4/1/15,4/30/15,2,2.79,USD,United States,,,,,B00TG14ZHS,,KOLL,,,,2.79,Angel Sefer,Spellbound in His Arms
Encore,4/1/15,4/30/15,2,2.9,USD,Canada,,,,,B00TG14ZHS,,KINDLE,,,,2.9,Angel Sefer,Spellbound in His Arms
Encore,4/1/15,4/30/15,1,1.45,USD,Canada,,,,,B00TG14ZHS,,KU,,,,1.45,Angel Sefer,Spellbound in His Arms
Encore,4/1/15,4/30/15,1,1.46,USD,Australia,,,,,B00TG14ZHS,,KINDLE,,,,1.46,Angel Sefer,Spellbound in His Arms
Encore,4/1/15,4/30/15,5,5.09,GBP,United Kingdom,,,,,B00TG14ZHS,,KU,,,,7.8286236,Angel Sefer,Spellbound in His Arms
Encore,4/1/15,4/30/15,1,1.02,GBP,United Kingdom,,,,,B00TG14ZHS,,KOLL,,,,1.5688008,Angel Sefer,Spellbound in His Arms
Encore,4/1/15,4/30/15,10,10.19,GBP,United Kingdom,,,,,B00TG14ZHS,,KINDLE,,,,15.6726276,Angel Sefer,Spellbound in His Arms
Encore,4/1/15,4/30/15,12,16.57,USD,United States,,,,,B00TG14YOC,,KU,,,,16.57,Anne McCarthy Strauss,A Medical Affair
Encore,4/1/15,4/30/15,1,1.38,USD,United States,,,,,B00TG14YOC,,KOLL,,,,1.38,Anne McCarthy Strauss,A Medical Affair
Encore,4/1/15,4/30/15,11,15.19,USD,United States,,,,,B00TG14YOC,,KINDLE,,,,15.19,Anne McCarthy Strauss,A Medical Affair
Encore,4/1/15,4/30/15,1,1.4,USD,United States,,,,,B00U9WWU84,,KU,,,,1.4,Arleen Williams,Running Secrets
Encore,4/1/15,4/30/15,1,1.4,USD,China,,,,,B00U9WWU84,,KINDLE,,,,1.4,Arleen Williams,Running Secrets
Encore,4/1/15,4/30/15,4,5.59,USD,United States,,,,,B00U9WWU7A,,KU,,,,5.59,C.L. LeMay,Rivercreek Crossing
Encore,4/1/15,4/30/15,1,1.4,USD,United States,,,,,B00U9WWU7A,,KINDLE,,,,1.4,C.L. LeMay,Rivercreek Crossing
Encore,4/1/15,4/30/15,1,1.02,GBP,United Kingdom,,,,,B00U9WWU7A,,KU,,,,1.5688008,C.L. LeMay,Rivercreek Crossing
Encore,4/1/15,4/30/15,1,1.02,GBP,United Kingdom,,,,,B00U9WWU7A,,KOLL,,,,1.5688008,C.L. LeMay,Rivercreek Crossing
Encore,4/1/15,4/30/15,2,2.04,GBP,United Kingdom,,,,,B00U9WWU7A,,KINDLE,,,,3.1376016,C.L. LeMay,Rivercreek Crossing
Encore,4/1/15,4/30/15,14,19.55,USD,United States,,,,,B00U9WWU6G,,KU,,,,19.55,Carolyn Ridder Aspenson,Unfinished Business
Encore,4/1/15,4/30/15,2,2.79,USD,United States,,,,,B00U9WWU6G,,KOLL,,,,2.79,Carolyn Ridder Aspenson,Unfinished Business
