Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],TITLE,AUTHOR,RETAILER,PERIOD
Inscribe,5/1/15,,1,3.4,USD,United Kingdom of Great Britain and N. Ireland,,9781620156001,,,,,,7.99,,,3.4,City of Illusions,Judith Works,OverDrive Download Retail Sales USA,P05 15 (May 15)
Inscribe,5/1/15,,1,2.55,USD,United States of America,,9781620155981,,,,,,5.99,,,2.55,Dead Girl Walking,Ruth Silver,OverDrive Download Retail Sales USA,P05 15 (May 15)
Inscribe,5/1/15,,1,2.975,USD,"Australia, Commonwealth of",,9781620156094,,,,,,6.99,,,2.975,Last Stop: The Twilight Zone,Joel Engel,OverDrive Download Retail Sales USA,P05 15 (May 15)
Inscribe,5/1/15,,2,6.8,USD,Canada,,9781620156308,,,,,,7.99,,,6.8,Mr. 8,David J. Thirteen,OverDrive Download Retail Sales USA,P05 15 (May 15)
Inscribe,5/1/15,,2,5.1,USD,Canada,,9781620155158,,,,,,5.99,,,5.1,My Fair Lily,Meara Platt,OverDrive Download Retail Sales USA,P05 15 (May 15)
Inscribe,5/1/15,,5,12.75,USD,United States of America,,9781620155158,,,,,,5.99,,,12.75,My Fair Lily,Meara Platt,OverDrive Download Retail Sales USA,P05 15 (May 15)
Inscribe,5/1/15,,1,4.675,USD,Canada,,9781620156032,,,,,,10.99,,,4.675,Op-Dec: Operation Deceipt,K. Williams,OverDrive Download Retail Sales USA,P05 15 (May 15)
Inscribe,5/1/15,,1,2.55,USD,United States of America,,9781620155769,,,,,,5.99,,,2.55,Orenda,Ruth Silver,OverDrive Download Retail Sales USA,P05 15 (May 15)
Inscribe,5/1/15,,1,3.4,USD,United States of America,,9781620154496,,,,,,7.99,,,3.4,Return to Sender,Mindy S. Halleck,OverDrive Download Retail Sales USA,P05 15 (May 15)
Inscribe,5/1/15,,1,4.675,USD,United States of America,,9781620156100,,,,,,10.99,,,4.675,Ride of Your Life,Ran Zilca,OverDrive Download Retail Sales USA,P05 15 (May 15)
Inscribe,5/1/15,,2,5.95,USD,United States of America,,9781620152386,,,,,,6.99,,,5.95,Riverbend,Tess Thompson,OverDrive Download Retail Sales USA,P05 15 (May 15)
Inscribe,5/1/15,,2,5.1,USD,United States of America,,9781620150191,,,,,,5.99,,,5.1,Riversong,Tess Thompson,OverDrive Download Retail Sales USA,P05 15 (May 15)
Inscribe,5/1/15,,2,5.95,USD,United States of America,,9781620152423,,,,,,6.99,,,5.95,Riverstar,Tess Thompson,OverDrive Download Retail Sales USA,P05 15 (May 15)
Inscribe,5/1/15,,4,11.9,USD,United States of America,,9781620155271,,,,,,6.99,,,11.9,Spring Shadows,Jennifer Gracen,OverDrive Download Retail Sales USA,P05 15 (May 15)
Inscribe,5/1/15,,4,11.9,USD,United States of America,,9781620156834,,,,,,6.99,,,11.9,Summer Champagne,Jennifer Gracen,OverDrive Download Retail Sales USA,P05 15 (May 15)
Inscribe,5/1/15,,2,5.95,USD,United States of America,,9781620156711,,,,,,6.99,,,5.95,The Duke I'm Going to Marry,Meara Platt,OverDrive Download Retail Sales USA,P05 15 (May 15)
Inscribe,5/1/15,,1,2.975,USD,Canada,,9781620156155,,,,,,6.99,,,2.975,The Passion Thief,Anne  McCarthy Strauss,OverDrive Download Retail Sales USA,P05 15 (May 15)
Inscribe,5/1/15,,2,12.75,USD,United States of America,,9781620152843,,,,,,14.99,,,12.75,The River Valley Trilogy,Tess Thompson,OverDrive Download Retail Sales USA,P05 15 (May 15)
Inscribe,5/1/15,,1,2.975,USD,Canada,,9781620156254,,,,,,6.99,,,2.975,Trigger,Jill Meengs,OverDrive Download Retail Sales USA,P05 15 (May 15)
Inscribe,5/1/15,,1,2.55,USD,United States of America,,9781620150511,,,,,,5.99,,,2.55,Tulip Season: A Mitra Basu Mystery,Bharti Kirchner,OverDrive Download Retail Sales USA,P05 15 (May 15)
Inscribe,5/1/15,,1,2.55,USD,Canada,,9781620153147,,,,,,5.99,,,2.55,What Echoes Render,Tamsen Schultz,OverDrive Download Retail Sales USA,P05 15 (May 15)
Inscribe,5/1/15,,1,2.55,USD,United States of America,,9781620153147,,,,,,5.99,,,2.55,What Echoes Render,Tamsen Schultz,OverDrive Download Retail Sales USA,P05 15 (May 15)
Inscribe,4/1/15,,1,1.9943,USD,Canada,,9781620153079,,,,,,3.99,,,1.9943,Boston O'Neill,Jim Owen,3M Retail Sales CAN,P04 15 (Apr 15)
Inscribe,4/1/15,,1,2.9953,USD,Canada,,9781620155769,,,,,,5.99,,,2.9953,Orenda,Ruth Silver,3M Retail Sales CAN,P04 15 (Apr 15)
Inscribe,4/1/15,,1,2.9953,USD,United States of America,,9781620151228,,,,,,5.99,,,2.9953,A Sliver of Hope,Karla J. Nellenbach,3M Retail Sales USA,P04 15 (Apr 15)
Inscribe,4/1/15,,1,2.9953,USD,United States of America,,9781620151228,,,,,,5.99,,,2.9953,A Sliver of Hope,Karla J. Nellenbach,3M Retail Sales USA,P04 15 (Apr 15)
Inscribe,4/1/15,,2,8.0003,USD,United States of America,,9781620156162,,,,,,7.99,,,8.0003,Blood & Spirits,Dennis Sharpe,3M Retail Sales USA,P04 15 (Apr 15)
Inscribe,4/1/15,,1,3.4958,USD,United States of America,,9781620156599,,,,,,6.99,,,3.4958,Chasing Ravens,Jessica E. Paige,3M Retail Sales USA,P04 15 (Apr 15)
Inscribe,4/1/15,,1,2.9953,USD,United States of America,,9781620150665,,,,,,5.99,,,2.9953,Running in Darkness,James Daly,3M Retail Sales USA,P04 15 (Apr 15)
Inscribe,4/1/15,,1,2.9953,USD,United States of America,,9781620150139,,,,,,5.99,,,2.9953,Sweet Song,Terry Persun,3M Retail Sales USA,P04 15 (Apr 15)
Inscribe,4/1/15,,1,3.4958,USD,United States of America,,9781620152638,,,,,,6.99,,,3.4958,The Old Cape House,Barbara  Eppich Struna,3M Retail Sales USA,P04 15 (Apr 15)
Inscribe,4/1/15,,1,3.4958,USD,United States of America,,9781620152638,,,,,,6.99,,,3.4958,The Old Cape House,Barbara  Eppich Struna,3M Retail Sales USA,P04 15 (Apr 15)
Inscribe,4/1/15,,1,2.9953,USD,United States of America,,9781620156117,,,,,,5.99,,,2.9953,The Old Cape Teapot,Barbara Eppich Struna,3M Retail Sales USA,P04 15 (Apr 15)
Inscribe,4/1/15,,1,3.39575,USD,United States of America,,9781620155684,,,,,,7.99,,,3.39575,A Shadow in the Flames,Michael G. Munz,OverDrive Download Retail Sales USA,P04 15 (Apr 15)
Inscribe,4/1/15,,1,3.39575,USD,Canada,,9781620156186,,,,,,7.99,,,3.39575,Auggie Appleby's Wild Goose Chase,"Billie Morton, Robin Maxwell",OverDrive Download Retail Sales USA,P04 15 (Apr 15)
Inscribe,4/1/15,,1,3.39575,USD,United States of America,,9781620156353,,,,,,7.99,,,3.39575,Blended for Love,"Marni Mann, Meredith Schorr, Shari J. Ryan, Tess Thompson",OverDrive Download Retail Sales USA,P04 15 (Apr 15)
Inscribe,4/1/15,,1,3.39575,USD,United States of America,,9781620156162,,,,,,7.99,,,3.39575,Blood & Spirits,Dennis Sharpe,OverDrive Download Retail Sales USA,P04 15 (Apr 15)
Inscribe,4/1/15,,2,5.9415,USD,United States of America,,9781620156599,,,,,,6.99,,,5.9415,Chasing Ravens,Jessica E. Paige,OverDrive Download Retail Sales USA,P04 15 (Apr 15)
