Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],Title,Author,Imprint,Sale Date,9/30/15
Encore,9/1/15,,1,1.37,USD,United States,,,,,B00OA9GDYY,,KOLL,,,,1.37,A Tainted Mind,Tamsen Schultz,,,1
Encore,9/1/15,,5,6.86,USD,United States,,,,,B00OA9GDYY,,KU,,,,6.86,A Tainted Mind,Tamsen Schultz,,,1
Encore,9/1/15,,7,9.6,USD,United States,,,,,B00OA9GDYY,,Standard,,,,9.6,A Tainted Mind,Tamsen Schultz,,,1
Encore,9/1/15,,1,1.37,USD,Canada,,,,,B00OA9GDYY,,Standard,,,,1.37,A Tainted Mind,Tamsen Schultz,,,1
Encore,9/1/15,,1,1.33,USD,Australia,,,,,B00OA9GDYY,,Standard,,,,1.33,A Tainted Mind,Tamsen Schultz,,,1
Encore,9/1/15,,11,14.62,USD,United States,,,,,B00OA9GDWG,,KOLL,,,,14.62,Touched,A.J. Aalto,,,1
Encore,9/1/15,,98,130.27,USD,United States,,,,,B00OA9GDWG,,KU,,,,130.27,Touched,A.J. Aalto,,,1
Encore,9/1/15,,42,55.83,USD,United States,,,,,B00OA9GDWG,,Standard,,,,55.83,Touched,A.J. Aalto,,,1
Encore,9/1/15,,1,1.37,USD,Canada,,,,,B00OA9GDWG,,KU,,,,1.37,Touched,A.J. Aalto,,,1
Encore,9/1/15,,2,2.04,GBP,United Kingdom,,,,,B00OA9GDWG,,Standard,,,,3.0935376,Touched,A.J. Aalto,,,1.51644
Encore,9/1/15,,7,7.13,GBP,United Kingdom,,,,,B00OA9GDWG,,KU,,,,10.8122172,Touched,A.J. Aalto,,,1.51644
Encore,9/1/15,,1,1.03,EUR,Germany,,,,,B00OA9GDWG,,Standard,,,,1.1580496,Touched,A.J. Aalto,,,1.12432
Encore,9/1/15,,1,1.03,EUR,Germany,,,,,B00OA9GDWG,,KOLL,,,,1.1580496,Touched,A.J. Aalto,,,1.12432
Encore,9/1/15,,8,11.4,USD,United States,,,,,B00OA9GE3E,,KOLL,,,,11.4,Caramel and Magnolias,Tess Thompson,,,1
Encore,9/1/15,,25,35.61,USD,United States,,,,,B00OA9GE3E,,Standard,,,,35.61,Caramel and Magnolias,Tess Thompson,,,1
Encore,9/1/15,,56,79.77,USD,United States,,,,,B00OA9GE3E,,KU,,,,79.77,Caramel and Magnolias,Tess Thompson,,,1
Encore,9/1/15,,1,1.37,USD,Australia,,,,,B00OA9GE3E,,Standard,,,,1.37,Caramel and Magnolias,Tess Thompson,,,1
Encore,9/1/15,,1,1.02,GBP,United Kingdom,,,,,B00OA9GE3E,,KU,,,,1.5467688,Caramel and Magnolias,Tess Thompson,,,1.51644
