Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country, BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (Use),Unit Revenue,Revenue [USD],Title,Author,publisher_imprint,Sale Date
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620151457,,,,,54.95,,,,Redesigning Education: Shaping Learning Systems Around the Globe,"Innovation Unit for GELP,",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620151464,,,,,16.95,,,,Riverstar (the River Valley Collection),"Thompson, Tess",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620151488,,,,,14.95,,,,Timothy: A Little Fish with a Big Purpose!,"Riley, Brad",Vox Dei,
LSI,9/1/15,9/30/15,1,3.44,USD,United States,,,9781620151532,,,,,18.95,,,,The Summer of Long Knives,"Snowden, Jim",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620151563,,,,,20.95,,,,Dead of Knight,"Persun, Nicole J.",Booktrope Editions,
LSI,9/1/15,9/30/15,1,2.11,USD,United States,,,9781620151587,,,,,14.95,,,,Just Friends with Benefits,"Schorr, Meredith",Booktrope Editions,
LSI,9/1/15,9/30/15,2,5.26,USD,United States,,,9781620151600,,,,,10.95,,,,Broken Pieces,"Thompson, Rachel",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620151624,,,,,19.95,,,,Behind the Shades: Hope Beyond the Darkness,"Charles, Sheila Raye",Vox Dei,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620151631,,,,,20.95,,,,Josie Jameson and the Fourth Tombstone,"Hotes, Jennifer L.",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620151662,,,,,12.95,,,,The Y'Nevano Book of Encouragements,"Collins, Wali",Booktrope Editions,
LSI,9/1/15,9/30/15,25,40.5,USD,United States,,,9781620151679,,,,,15.95,,,,The Old Cape House,"Eppich Struna, Barbara",Booktrope Editions,
