Source Table Name,Start Date,End Date,Quantity,Royalty,Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],Title,Author
KDP,5/1/15,5/31/15,2,6.18,USD,US,,,,,B00ENIFS8O,70%,Standard,4.49,,,6.18,Seducer Fey,Cullyn Royson
KDP,5/1/15,5/31/15,6,8.08852338,USD,US,,,,,B00ENIFS8O,N/A,KU/KOLL Units,N/A,,,8.08852338,Seducer Fey,Cullyn Royson
KDP,5/1/15,5/31/15,5,5.25,USD,US,,,,,B00EYMYBXW,35%,Standard,2.99,,,5.25,Just Friends with Benefits,Meredith Schorr
KDP,5/1/15,5/31/15,210,427.42,USD,US,,,,,B00EYMYBXW,70%,Standard,3,,,427.42,Just Friends with Benefits,Meredith Schorr
KDP,5/1/15,5/31/15,3,3.02,USD,US,,,,,B00F8KMR8A,35%,Standard,2.87,,,3.02,The Dark Light of Day,T.M. Frazier
KDP,5/1/15,5/31/15,38,102.85,USD,US,,,,,B00F8KMR8A,70%,Standard,3.96,,,102.85,The Dark Light of Day,T.M. Frazier
KDP,5/1/15,5/31/15,1,0,USD,US,,,,,B00F8KMR8A,70% - promo,Kindle MatchBook,3.99,,,0,The Dark Light of Day,T.M. Frazier
KDP,5/1/15,5/31/15,2,2.69617446,USD,US,,,,,B00FJBLSCY,N/A,KU/KOLL Units,N/A,,,2.69617446,A Medical Affair,Anne McCarthy Strauss
KDP,5/1/15,5/31/15,3,10.02,USD,US,,,,,B00FSFKK5C,70%,Standard,4.99,,,10.02,Bending Time,Charles Johnson
KDP,5/1/15,5/31/15,1,4.17,USD,US,,,,,B00FYW9104,70%,Standard,5.99,,,4.17,The Y'NEVANO Book of Encouragements,Wali Collins
KDP,5/1/15,5/31/15,5,34.6,USD,US,,,,,B00FZ2FI46,70%,Standard,9.95,,,34.6,"Pick Up the Damn Phone! How People, Not Technology, Seal the Deal",Joanne S. Black
KDP,5/1/15,5/31/15,2,6.9,USD,US,,,,,B00G042QFC,70%,Standard,4.99,,,6.9,Dancing on the Edge,Kit Bakke
KDP,5/1/15,5/31/15,-40,0,USD,US,,,,,B00G042QFC,N/A,Free - Promotion,4.99,,,0,Dancing on the Edge,Kit Bakke
KDP,5/1/15,5/31/15,216,75.54,USD,US,,,,,B00G17HT6E,35%,Standard,0.99,,,75.54,Dirt Nap (A Marnie Baranuik â€œBetween the Filesâ€ù Story),A.J. Aalto
KDP,5/1/15,5/31/15,1,3.43,USD,US,,,,,B00G3IUNOG,70%,Standard,4.99,,,3.43,The Secrets of Casanova,Greg Michaels
KDP,5/1/15,5/31/15,-1,-0.35,USD,US,,,,,B00G3JI518,35%,Standard,0.99,,,-0.35,These Sorrows We See (A Windsor Series Novel),Tamsen Schultz
KDP,5/1/15,5/31/15,19,64.98,USD,US,,,,,B00G3JI518,70%,Standard,4.99,,,64.98,These Sorrows We See (A Windsor Series Novel),Tamsen Schultz
KDP,5/1/15,5/31/15,5,24.1,USD,US,,,,,B00G4E050G,70%,Standard,6.99,,,24.1,The Shadows Series,Marni Mann
KDP,5/1/15,5/31/15,18,24.26557014,USD,US,,,,,B00G4E050G,N/A,KU/KOLL Units,N/A,,,24.26557014,The Shadows Series,Marni Mann
KDP,5/1/15,5/31/15,64,174.09,USD,US,,,,,B00G9AWTJU,70%,Standard,3.99,,,174.09,The Old Cape House,Barbara Eppich Struna
KDP,5/1/15,5/31/15,2,5.07,USD,US,,,,,B00GDKWIJC,70%,Standard,3.73,,,5.07,Revontuli,Andrew Eddy
KDP,5/1/15,5/31/15,1,3.44,USD,US,,,,,B00GHZA4JE,70%,Standard,4.99,,,3.44,"Blue Moon Vegetarian: Reflections, Recipes, and Advice for a Plant-Based Diet",Paula Marie Coomer
KDP,5/1/15,5/31/15,5,6.74043615,USD,US,,,,,B00GJ1XZSS,N/A,KU/KOLL Units,N/A,,,6.74043615,Between Boyfriends,SÃ¡rka-Jonae Miller
KDP,5/1/15,5/31/15,1,2.74,USD,US,,,,,B00GS7GVHK,70%,Standard,3.99,,,2.74,Paradigm Shift,Bill Ellis
KDP,5/1/15,5/31/15,10,68.08,USD,US,,,,,B00H4EICT6,70%,Standard,9.93,,,68.08,The River Valley Trilogy,Tess Thompson
KDP,5/1/15,5/31/15,2,5.48,USD,US,,,,,B00H7ML3FA,70%,Standard,3.99,,,5.48,Between the Sheets,SÃ¡rka-Jonae Miller
KDP,5/1/15,5/31/15,4,5.39234892,USD,US,,,,,B00H7ML3FA,N/A,KU/KOLL Units,N/A,,,5.39234892,Between the Sheets,SÃ¡rka-Jonae Miller
KDP,5/1/15,5/31/15,20,40.92,USD,US,,,,,B00HAHFDO4,70%,Standard,3,,,40.92,Swimming Upstream,Ruth Mancini
