Source Table Name,Start Date,End Date,Quantity,Royalty,Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],Title,Author
KDP,7/1/15,7/31/15,62,0,USD,US,,,,,B00E220RAK,N/A,Free - Price Match,0.99,,,0.00,"Cold Company (A Marnie Baranuik ""Between the Files"" Story)",A.J. Aalto
KDP,7/1/15,7/31/15,2,0.7,USD,US,,,,,B00E67MB5A,35%,Standard,0.99,,,0.70,The Summer of Long Knives,Jim Snowden
KDP,7/1/15,7/31/15,1,3.31,USD,US,,,,,B00E8OP022,70%,Standard,4.99,,,3.31,Behind the Shades: Hope Beyond the Darkness,Sheila Raye Charles
KDP,7/1/15,7/31/15,2,5.48,USD,US,,,,,B00E8OQ9R2,70%,Standard,3.99,,,5.48,Seductive Secrecy,Marni Mann
KDP,7/1/15,7/31/15,1167,6.74428171,USD,US,,,,,B00E8OQ9R2,N/A,Kindle Edition Normalized Pages (KENP) Read,N/A,,,6.74,Seductive Secrecy,Marni Mann
KDP,7/1/15,7/31/15,1,2.73,USD,US,,,,,B00ENIFS8O,70%,Standard,3.99,,,2.73,Seducer Fey,Cullyn Royson
KDP,7/1/15,7/31/15,1156,6.68071093,USD,US,,,,,B00ENIFS8O,N/A,Kindle Edition Normalized Pages (KENP) Read,N/A,,,6.68,Seducer Fey,Cullyn Royson
KDP,7/1/15,7/31/15,5,0.02889581,USD,US,,,,,B00ETBLG9K,N/A,Kindle Edition Normalized Pages (KENP) Read,N/A,,,0.03,Josie Jameson and the Fourth Tombstone,Jennifer Hotes
KDP,7/1/15,7/31/15,1,0,USD,US,,,,,B00ETBLG9K,70% - promo,Kindle MatchBook,3.99,,,0.00,Josie Jameson and the Fourth Tombstone,Jennifer Hotes
KDP,7/1/15,7/31/15,654,240.89,USD,US,,,,,B00EYMYBXW,35%,Standard,1.04,,,240.89,Just Friends with Benefits,Meredith Schorr
KDP,7/1/15,7/31/15,101,205.7,USD,US,,,,,B00EYMYBXW,70%,Standard,2.99,,,205.70,Just Friends with Benefits,Meredith Schorr
KDP,7/1/15,7/31/15,1271,448.13,USD,US,,,,,B00F8KMR8A,35%,Standard,1,,,448.13,The Dark Light of Day,T.M. Frazier
KDP,7/1/15,7/31/15,426,1140.01,USD,US,,,,,B00F8KMR8A,70%,Standard,3.95,,,1140.01,The Dark Light of Day,T.M. Frazier
KDP,7/1/15,7/31/15,1,0,USD,US,,,,,B00F8KMR8A,35% - promo,Kindle MatchBook,0.99,,,0.00,The Dark Light of Day,T.M. Frazier
KDP,7/1/15,7/31/15,503,2.90691834,USD,US,,,,,B00FJBLSCY,N/A,Kindle Edition Normalized Pages (KENP) Read,N/A,,,2.91,A Medical Affair,Anne McCarthy Strauss
KDP,7/1/15,7/31/15,1,2.05,USD,US,,,,,B00FQSXW88,70%,Standard,2.99,,,2.05,A Chorus of Wolves,Alex Kimmell
KDP,7/1/15,7/31/15,1,3.34,USD,US,,,,,B00FSFKK5C,70%,Standard,4.99,,,3.34,Bending Time,Charles Johnson
KDP,7/1/15,7/31/15,4,26.28,USD,US,,,,,B00FZ2FI46,70%,Standard,9.45,,,26.28,"Pick Up the Damn Phone! How People, Not Technology, Seal the Deal",Joanne S. Black
KDP,7/1/15,7/31/15,1,0,USD,US,,,,,B00FZ2FI46,70% - promo,Kindle MatchBook,9.95,,,0.00,"Pick Up the Damn Phone! How People, Not Technology, Seal the Deal",Joanne S. Black
KDP,7/1/15,7/31/15,206,72.08,USD,US,,,,,B00G042QFC,35%,Standard,0.99,,,72.08,Dancing on the Edge,Kit Bakke
KDP,7/1/15,7/31/15,451,2.60640193,USD,US,,,,,B00G042QFC,N/A,Kindle Edition Normalized Pages (KENP) Read,N/A,,,2.61,Dancing on the Edge,Kit Bakke
KDP,7/1/15,7/31/15,-1,0,USD,US,,,,,B00G042QFC,N/A,Free - Promotion,4.99,,,0.00,Dancing on the Edge,Kit Bakke
KDP,7/1/15,7/31/15,37,12.95,USD,US,,,,,B00G17HT6E,35%,Standard,0.99,,,12.95,Dirt Nap (A Marnie Baranuik â€œBetween the Filesâ€ù Story),A.J. Aalto
KDP,7/1/15,7/31/15,10,34.2,USD,US,,,,,B00G3JI518,70%,Standard,4.99,,,34.20,These Sorrows We See (A Windsor Series Novel),Tamsen Schultz
KDP,7/1/15,7/31/15,4,19.28,USD,US,,,,,B00G4E050G,70%,Standard,6.99,,,19.28,The Shadows Series,Marni Mann
KDP,7/1/15,7/31/15,8467,48.9321621,USD,US,,,,,B00G4E050G,N/A,Kindle Edition Normalized Pages (KENP) Read,N/A,,,48.93,The Shadows Series,Marni Mann
KDP,7/1/15,7/31/15,62,168.64,USD,US,,,,,B00G9AWTJU,70%,Standard,3.99,,,168.64,The Old Cape House,Barbara Eppich Struna
KDP,7/1/15,7/31/15,1,2.72,USD,US,,,,,B00GDKWIJC,70%,Standard,3.99,,,2.72,Revontuli,Andrew Eddy
KDP,7/1/15,7/31/15,1,3.44,USD,US,,,,,B00GHZA4JE,70%,Standard,4.99,,,3.44,"Blue Moon Vegetarian: Reflections, Recipes, and Advice for a Plant-Based Diet",Paula Marie Coomer
KDP,7/1/15,7/31/15,4,10.92,USD,US,,,,,B00GJ1XZSS,70%,Standard,3.99,,,10.92,Between Boyfriends,SÃ¡rka-Jonae Miller
KDP,7/1/15,7/31/15,775,4.4788503,USD,US,,,,,B00GJ1XZSS,N/A,Kindle Edition Normalized Pages (KENP) Read,N/A,,,4.48,Between Boyfriends,SÃ¡rka-Jonae Miller
KDP,7/1/15,7/31/15,2,0.7,USD,US,,,,,B00GURYUDA,35%,Standard,0.99,,,0.70,The Appeal of Evil,Pembroke Sinclair
KDP,7/1/15,7/31/15,1,3.5,USD,US,,,,,B00H4EICT6,35%,Standard,9.99,,,3.50,The River Valley Trilogy,Tess Thompson
KDP,7/1/15,7/31/15,26,176.63,USD,US,,,,,B00H4EICT6,70%,Standard,9.91,,,176.63,The River Valley Trilogy,Tess Thompson
KDP,7/1/15,7/31/15,6,16.45,USD,US,,,,,B00H7ML3FA,70%,Standard,3.99,,,16.45,Between the Sheets,SÃ¡rka-Jonae Miller
KDP,7/1/15,7/31/15,397,2.29432719,USD,US,,,,,B00H7ML3FA,N/A,Kindle Edition Normalized Pages (KENP) Read,N/A,,,2.29,Between the Sheets,SÃ¡rka-Jonae Miller
KDP,7/1/15,7/31/15,50,17.5,USD,US,,,,,B00HAHFDO4,35%,Standard,0.99,,,17.50,Swimming Upstream,Ruth Mancini
KDP,7/1/15,7/31/15,107,218.42,USD,US,,,,,B00HAHFDO4,70%,Standard,2.99,,,218.42,Swimming Upstream,Ruth Mancini
KDP,7/1/15,7/31/15,13923,80.46326832,USD,US,,,,,B00HAHFDO4,N/A,Kindle Edition Normalized Pages (KENP) Read,N/A,,,80.46,Swimming Upstream,Ruth Mancini
KDP,7/1/15,7/31/15,1,2.72,USD,US,,,,,B00HF9J35W,70%,Standard,3.99,,,2.72,Resigned Fate (Book Three of The Portals of Destiny),Shay West
KDP,7/1/15,7/31/15,2188,767.37,USD,US,,,,,B00HRCI56K,35%,Standard,0.99,,,767.37,Seasons' End,Will North
KDP,7/1/15,7/31/15,86,352.04,USD,US,,,,,B00HRCI56K,70%,Standard,5.93,,,352.04,Seasons' End,Will North
KDP,7/1/15,7/31/15,1,1.75,USD,US,,,,,B00I4XAMB2,35%,Standard,4.99,,,1.75,The Girls: Sappho Goes to Hollywood,Diana McLellan
KDP,7/1/15,7/31/15,24,75.71,USD,US,,,,,B00I4XAMB2,70%,Standard,4.98,,,75.71,The Girls: Sappho Goes to Hollywood,Diana McLellan
KDP,7/1/15,7/31/15,1,1.75,USD,US,,,,,B00I9UQE26,35%,Standard,4.99,,,1.75,Arielle Immortal Awakening,Lilian Roberts
KDP,7/1/15,7/31/15,2,6.88,USD,US,,,,,B00I9UQE26,70%,Standard,4.99,,,6.88,Arielle Immortal Awakening,Lilian Roberts
KDP,7/1/15,7/31/15,7268,42.00294725,USD,US,,,,,B00I9UQE26,N/A,Kindle Edition Normalized Pages (KENP) Read,N/A,,,42.00,Arielle Immortal Awakening,Lilian Roberts
KDP,7/1/15,7/31/15,2,3.94,USD,US,,,,,B00II40EFG,70%,Standard,2.99,,,3.94,Zips Goes Wandering,Chris Marsh
KDP,7/1/15,7/31/15,4,8.16,USD,US,,,,,B00IIUX9I4,70%,Standard,2.99,,,8.16,The Unintentional Time Traveler,Everett Maroon
KDP,7/1/15,7/31/15,2,5.5,USD,US,,,,,B00IOSBVUS,70%,Standard,3.99,,,5.50,One Day in Lubbock,Daniel Lance Wright
KDP,7/1/15,7/31/15,5,10.25,USD,US,,,,,B00IPL70NG,70%,Standard,2.99,,,10.25,Hard Justice,Mike McNeff
KDP,7/1/15,7/31/15,677,3.91249245,USD,US,,,,,B00IPL70NG,N/A,Kindle Edition Normalized Pages (KENP) Read,N/A,,,3.91,Hard Justice,Mike McNeff
