Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,Type,List Price [multi-ccy],ISBN Hardcover (use),Unit Revenue,Revenue [USD],Author,Title
Encore,7/1/15,7/31/15,6,7.68,USD,United States,,,,,B00U9WWU8Y,,KINDLE,,,,7.68,Ina Zajac,"Please, Pretty Lights"
Encore,7/1/15,7/31/15,3,4.19,USD,United States,,,,,B00U9WWU9S,,KU,,,,4.19,Lori Culwell,The Dirt
Encore,7/1/15,7/31/15,0,0,USD,United States,,,,,B00U9WWU9S,,KINDLE,,,,0,Lori Culwell,The Dirt
Encore,7/1/15,7/31/15,1,1.02,GBP,United Kingdom,,,,,B00U9WWU9S,,KINDLE,,,,1.5915366,Lori Culwell,The Dirt
Encore,7/1/15,7/31/15,2,2.72,USD,United States,,,,,B00TG14YOC,,KOLL,,,,2.72,Anne McCarthy Strauss,A Medical Affair
Encore,7/1/15,7/31/15,2,2.72,USD,United States,,,,,B00TG14YOC,,KU,,,,2.72,Anne McCarthy Strauss,A Medical Affair
Encore,7/1/15,7/31/15,9,12.22,USD,United States,,,,,B00TG14YOC,,KINDLE,,,,12.22,Anne McCarthy Strauss,A Medical Affair
Encore,7/1/15,7/31/15,2,2.79,USD,United States,,,,,B00TG14YRO,,KINDLE,,,,2.79,Jesse James Freeman,Billy Purgatory: I am the Devil Bird
Encore,7/1/15,7/31/15,1,1.4,USD,United States,,,,,B00TG14YRO,,KU,,,,1.4,Jesse James Freeman,Billy Purgatory: I am the Devil Bird
Encore,7/1/15,7/31/15,2,2.79,USD,United States,,,,,B00U9WWU6G,,KOLL,,,,2.79,Carolyn Ridder Aspenson,Unfinished Business
Encore,7/1/15,7/31/15,23,32.12,USD,United States,,,,,B00U9WWU6G,,KU,,,,32.12,Carolyn Ridder Aspenson,Unfinished Business
Encore,7/1/15,7/31/15,9,12.57,USD,United States,,,,,B00U9WWU6G,,KINDLE,,,,12.57,Carolyn Ridder Aspenson,Unfinished Business
Encore,7/1/15,7/31/15,1,1.02,GBP,United Kingdom,,,,,B00U9WWU6G,,KINDLE,,,,1.5915366,Carolyn Ridder Aspenson,Unfinished Business
Encore,7/1/15,7/31/15,1,1.02,EUR,Germany,,,,,B00U9WWU6G,,KINDLE,,,,1.1171448,Carolyn Ridder Aspenson,Unfinished Business
Encore,7/1/15,7/31/15,2,2.79,USD,United States,,,,,B00TG14YV0,,KU,,,,2.79,February Grace,Of Stardust
Encore,7/1/15,7/31/15,2,2.79,USD,United States,,,,,B00TG14YV0,,KINDLE,,,,2.79,February Grace,Of Stardust
Encore,7/1/15,7/31/15,2,2.04,GBP,United Kingdom,,,,,B00TG14YV0,,KINDLE,,,,3.1830732,February Grace,Of Stardust
Encore,7/1/15,7/31/15,1,1.25,EUR,France,,,,,B00TG14YV0,,KU,,,,1.36905,February Grace,Of Stardust
Encore,7/1/15,7/31/15,2,2.79,USD,United States,,,,,B00TG14YPG,,KINDLE,,,,2.79,Kelly Hess,Eyes of the Enemy
Encore,7/1/15,7/31/15,1,1.4,USD,United States,,,,,B00TG14YPG,,KU,,,,1.4,Kelly Hess,Eyes of the Enemy
Encore,7/1/15,7/31/15,2,2.04,GBP,United Kingdom,,,,,B00TG14YPG,,KINDLE,,,,3.1830732,Kelly Hess,Eyes of the Enemy
Encore,7/1/15,7/31/15,5,6.67,USD,United States,,,,,B00TG14YRE,,KOLL,,,,6.67,A.J. Aalto,Death Rejoices
Encore,7/1/15,7/31/15,40,53.34,USD,United States,,,,,B00TG14YRE,,KU,,,,53.34,A.J. Aalto,Death Rejoices
Encore,7/1/15,7/31/15,31,41.34,USD,United States,,,,,B00TG14YRE,,KINDLE,,,,41.34,A.J. Aalto,Death Rejoices
Encore,7/1/15,7/31/15,2,2.64,USD,Australia,,,,,B00TG14YRE,,KINDLE,,,,2.64,A.J. Aalto,Death Rejoices
Encore,7/1/15,7/31/15,1,1.02,GBP,United Kingdom,,,,,B00TG14YRE,,KOLL,,,,1.5915366,A.J. Aalto,Death Rejoices
Encore,7/1/15,7/31/15,12,12.22,GBP,United Kingdom,,,,,B00TG14YRE,,KINDLE,,,,19.0672326,A.J. Aalto,Death Rejoices
Encore,7/1/15,7/31/15,8,8.15,GBP,United Kingdom,,,,,B00TG14YRE,,KU,,,,12.7166895,A.J. Aalto,Death Rejoices
Encore,7/1/15,7/31/15,1,1.02,EUR,Germany,,,,,B00TG14YRE,,KINDLE,,,,1.1171448,A.J. Aalto,Death Rejoices
Encore,7/1/15,7/31/15,3,4.26,USD,United States,,,,,B00TG14YUQ,,KU,,,,4.26,Geoffrey Morrison,Undersea
Encore,7/1/15,7/31/15,7,9.93,USD,United States,,,,,B00TG14YUQ,,KINDLE,,,,9.93,Geoffrey Morrison,Undersea
Encore,7/1/15,7/31/15,1,1.32,USD,Australia,,,,,B00TG14YUQ,,KINDLE,,,,1.32,Geoffrey Morrison,Undersea
Encore,7/1/15,7/31/15,1,1.02,GBP,United Kingdom,,,,,B00TG14YUQ,,KOLL,,,,1.5915366,Geoffrey Morrison,Undersea
Encore,7/1/15,7/31/15,3,3.06,GBP,United Kingdom,,,,,B00TG14YUQ,,KINDLE,,,,4.7746098,Geoffrey Morrison,Undersea
Encore,7/1/15,7/31/15,6,8.38,USD,United States,,,,,B00U9WWU7A,,KINDLE,,,,8.38,C.L. LeMay,Rivercreek Crossing
Encore,7/1/15,7/31/15,8,11.17,USD,United States,,,,,B00U9WWU7A,,KU,,,,11.17,C.L. LeMay,Rivercreek Crossing
Encore,7/1/15,7/31/15,3,4.04,USD,United States,,,,,B00TG14Z9G,,KU,,,,4.04,Terry Persun,Doublesight
Encore,7/1/15,7/31/15,1,1.35,USD,United States,,,,,B00TG14Z9G,,KINDLE,,,,1.35,Terry Persun,Doublesight
Encore,7/1/15,7/31/15,1,0.7,USD,United States,,,,,B00TG14Z7S,,KINDLE,,,,0.7,Terry Persun,Revision 7: DNA
Encore,7/1/15,7/31/15,19,13.28,USD,United States,,,,,B00U9WWU70,,KU,,,,13.28,Kenneth G. Bennett,Exodus 2022
Encore,7/1/15,7/31/15,26,18.17,USD,United States,,,,,B00U9WWU70,,KINDLE,,,,18.17,Kenneth G. Bennett,Exodus 2022
Encore,7/1/15,7/31/15,1,1.38,USD,Australia,,,,,B00U9WWU70,,KINDLE,,,,1.38,Kenneth G. Bennett,Exodus 2022
Encore,7/1/15,7/31/15,189,54.22,GBP,United Kingdom,,,,,B00U9WWU70,,KINDLE,,,,84.6010926,Kenneth G. Bennett,Exodus 2022
Encore,7/1/15,7/31/15,7,2.01,GBP,United Kingdom,,,,,B00U9WWU70,,KU,,,,3.1362633,Kenneth G. Bennett,Exodus 2022
Encore,7/1/15,7/31/15,2,0.57,GBP,United Kingdom,,,,,B00U9WWU70,,KOLL,,,,0.8893881,Kenneth G. Bennett,Exodus 2022
Encore,7/1/15,7/31/15,2,0.57,EUR,Spain,,,,,B00U9WWU70,,KINDLE,,,,0.6242868,Kenneth G. Bennett,Exodus 2022
Encore,7/1/15,7/31/15,6,1.72,EUR,Netherlands,,,,,B00U9WWU70,,KINDLE,,,,1.8838128,Kenneth G. Bennett,Exodus 2022
Encore,7/1/15,7/31/15,1,0.33,EUR,Italy,,,,,B00U9WWU70,,KINDLE,,,,0.3614292,Kenneth G. Bennett,Exodus 2022
Encore,7/1/15,7/31/15,1,0.29,EUR,Germany,,,,,B00U9WWU70,,KU,,,,0.3176196,Kenneth G. Bennett,Exodus 2022
Encore,7/1/15,7/31/15,6,1.74,EUR,Germany,,,,,B00U9WWU70,,KINDLE,,,,1.9057176,Kenneth G. Bennett,Exodus 2022
Encore,7/1/15,7/31/15,6,1.97,EUR,France,,,,,B00U9WWU70,,KINDLE,,,,2.1576228,Kenneth G. Bennett,Exodus 2022
Encore,7/1/15,7/31/15,182,156.08,USD,United States,,,,,B00U9WWU5M,,KINDLE,,,,156.08,Shari J. Ryan,Schasm
Encore,7/1/15,7/31/15,49,42.02,USD,United States,,,,,B00U9WWU5M,,KU,,,,42.02,Shari J. Ryan,Schasm
Encore,7/1/15,7/31/15,3,2.57,USD,United States,,,,,B00U9WWU5M,,KOLL,,,,2.57,Shari J. Ryan,Schasm
Encore,7/1/15,7/31/15,26,7.55,GBP,United Kingdom,,,,,B00U9WWU5M,,KU,,,,11.7804915,Shari J. Ryan,Schasm
Encore,7/1/15,7/31/15,508,147.56,GBP,United Kingdom,,,,,B00U9WWU5M,,KINDLE,,,,230.2422948,Shari J. Ryan,Schasm
Encore,7/1/15,7/31/15,7,2.03,GBP,United Kingdom,,,,,B00U9WWU5M,,KOLL,,,,3.1674699,Shari J. Ryan,Schasm
Encore,7/1/15,7/31/15,1,1.4,USD,United States,,,,,B00U9WWUQG,,KINDLE,,,,1.4,A.L. Waddington,Essence
Encore,7/1/15,7/31/15,12,16.76,USD,United States,,,,,B00U9WWUQG,,KU,,,,16.76,A.L. Waddington,Essence
Encore,7/1/15,7/31/15,1,1.4,USD,United States,,,,,B00U9WWUQG,,KOLL,,,,1.4,A.L. Waddington,Essence
Encore,7/1/15,7/31/15,4,5.59,USD,United States,,,,,B00TG14ZHS,,KOLL,,,,5.59,Angel Sefer,Spellbound in His Arms
Encore,7/1/15,7/31/15,28,39.09,USD,United States,,,,,B00TG14ZHS,,KU,,,,39.09,Angel Sefer,Spellbound in His Arms
Encore,7/1/15,7/31/15,20,27.92,USD,United States,,,,,B00TG14ZHS,,KINDLE,,,,27.92,Angel Sefer,Spellbound in His Arms
Encore,7/1/15,7/31/15,1,1.34,USD,Canada,,,,,B00TG14ZHS,,KU,,,,1.34,Angel Sefer,Spellbound in His Arms
Encore,7/1/15,7/31/15,1,1.34,USD,Canada,,,,,B00TG14ZHS,,KINDLE,,,,1.34,Angel Sefer,Spellbound in His Arms
Encore,7/1/15,7/31/15,1,1.4,USD,Australia,,,,,B00TG14ZHS,,KINDLE,,,,1.4,Angel Sefer,Spellbound in His Arms
Encore,7/1/15,7/31/15,1,1.02,GBP,United Kingdom,,,,,B00TG14ZHS,,KOLL,,,,1.5915366,Angel Sefer,Spellbound in His Arms
Encore,7/1/15,7/31/15,0,0,GBP,United Kingdom,,,,,B00TG14ZHS,,KINDLE,,,,0,Angel Sefer,Spellbound in His Arms
Encore,7/1/15,7/31/15,3,3.06,GBP,United Kingdom,,,,,B00TG14ZHS,,KU,,,,4.7746098,Angel Sefer,Spellbound in His Arms
Encore,7/1/15,7/31/15,4,5.59,USD,United States,,,,,B00U9WWU5W,,KINDLE,,,,5.59,Tiffany Pitts,Double Blind
Encore,7/1/15,7/31/15,1,1.4,USD,United States,,,,,B00U9WWU5W,,KOLL,,,,1.4,Tiffany Pitts,Double Blind
Encore,7/1/15,7/31/15,7,9.78,USD,United States,,,,,B00U9WWU5W,,KU,,,,9.78,Tiffany Pitts,Double Blind
Encore,7/1/15,7/31/15,1,1.4,USD,United States,,,,,B00TG14YQ0,,KOLL,,,,1.4,Gale Martin,Who Killed 'Tom Jones'?
Encore,7/1/15,7/31/15,1,1.4,USD,United States,,,,,B00TG14YQ0,,KU,,,,1.4,Gale Martin,Who Killed 'Tom Jones'?
Encore,7/1/15,7/31/15,7,9.88,USD,United States,,,,,B00TG14YVA,,KOLL,,,,9.88,Lisa Fernow,Dead on Her Feet
Encore,7/1/15,7/31/15,15,21.18,USD,United States,,,,,B00TG14YVA,,KU,,,,21.18,Lisa Fernow,Dead on Her Feet
Encore,7/1/15,7/31/15,10,14.12,USD,United States,,,,,B00TG14YVA,,KINDLE,,,,14.12,Lisa Fernow,Dead on Her Feet
