Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],Title,Author,Imprint,Sale Date
KDP,8/1/15,8/31/15,114,232.56,USD,US,,,,,B00EYMYBXW,70%,Standard,2.99,,, 232.56 ,Just Friends with Benefits,Meredith Schorr,,
KDP,8/1/15,8/31/15,19,27.22,USD,US,,,,,B00F8KMR8A,35%,Standard,4.08,,, 27.22 ,The Dark Light of Day,T.M. Frazier,,
KDP,8/1/15,8/31/15,691,1876.47,USD,US,,,,,B00F8KMR8A,70%,Standard,3.98,,," 1,876.47 ",The Dark Light of Day,T.M. Frazier,,
KDP,8/1/15,8/31/15,2,0,USD,US,,,,,B00F8KMR8A,70% - promo,Kindle MatchBook,3.99,,, -   ,The Dark Light of Day,T.M. Frazier,,
KDP,8/1/15,8/31/15,1,0.35,USD,US,,,,,B00FBEOK0Q,35%,Standard,0.99,,, 0.35 ,Divorce as Opportunity: Stories and Support for Your Transition,Corbin Lewars,,
KDP,8/1/15,8/31/15,2,4.07,USD,US,,,,,B00FQSXW88,70%,Standard,2.97,,, 4.07 ,A Chorus of Wolves,Alex Kimmell,,
KDP,8/1/15,8/31/15,315,110.25,USD,US,,,,,B00FZ2FI46,35%,Standard,0.99,,, 110.25 ,"Pick Up the Damn Phone! How People, Not Technology, Seal the Deal",Joanne S. Black,,
KDP,8/1/15,8/31/15,6,41.52,USD,US,,,,,B00FZ2FI46,70%,Standard,9.95,,, 41.52 ,"Pick Up the Damn Phone! How People, Not Technology, Seal the Deal",Joanne S. Black,,
KDP,8/1/15,8/31/15,3,1.05,USD,US,,,,,B00G042QFC,35%,Standard,0.99,,, 1.05 ,Dancing on the Edge,Kit Bakke,,
KDP,8/1/15,8/31/15,1,3.45,USD,US,,,,,B00G042QFC,70%,Standard,4.99,,, 3.45 ,Dancing on the Edge,Kit Bakke,,
KDP,8/1/15,8/31/15,2098,10.78352596,USD,US,,,,,B00G042QFC,,Kindle Edition Normalized Pages (KENP) Read,,,, 10.78 ,Dancing on the Edge,Kit Bakke,,
KDP,8/1/15,8/31/15,68,23.8,USD,US,,,,,B00G17HT6E,35%,Standard,0.99,,, 23.80 ,Dirt Nap (A Marnie Baranuik â€œBetween the Filesâ€ù Story),A.J. Aalto,,
KDP,8/1/15,8/31/15,12,40.43,USD,US,,,,,B00G3JI518,70%,Standard,4.92,,, 40.43 ,These Sorrows We See (A Windsor Series Novel),Tamsen Schultz,,
KDP,8/1/15,8/31/15,4,18.84,USD,US,,,,,B00G4E050G,70%,Standard,6.84,,, 18.84 ,The Shadows Series,Marni Mann,,
KDP,8/1/15,8/31/15,12075,62.06438305,USD,US,,,,,B00G4E050G,,Kindle Edition Normalized Pages (KENP) Read,,,, 62.06 ,The Shadows Series,Marni Mann,,
KDP,8/1/15,8/31/15,4,1.25,USD,US,,,,,B00G4E050G,35% - promo,Kindle Countdown Deals,6.99,,, 1.25 ,The Shadows Series,Marni Mann,,
KDP,8/1/15,8/31/15,213,132.06,USD,US,,,,,B00G4E050G,70% - promo,Kindle Countdown Deals,6.99,,, 132.06 ,The Shadows Series,Marni Mann,,
KDP,8/1/15,8/31/15,2390,837.49,USD,US,,,,,B00G9AWTJU,35%,Standard,0.99,,, 837.49 ,The Old Cape House,Barbara Eppich Struna,,
KDP,8/1/15,8/31/15,160,433.11,USD,US,,,,,B00G9AWTJU,70%,Standard,3.97,,, 433.11 ,The Old Cape House,Barbara Eppich Struna,,
KDP,8/1/15,8/31/15,2,6.88,USD,US,,,,,B00GHZA4JE,70%,Standard,4.99,,, 6.88 ,"Blue Moon Vegetarian: Reflections, Recipes, and Advice for a Plant-Based Diet",Paula Marie Coomer,,
KDP,8/1/15,8/31/15,72,25.2,USD,US,,,,,B00GJ1XZSS,35%,Standard,0.99,,, 25.20 ,Between Boyfriends,SÃ¡rka-Jonae Miller,,
KDP,8/1/15,8/31/15,6,16.38,USD,US,,,,,B00GJ1XZSS,70%,Standard,3.99,,, 16.38 ,Between Boyfriends,SÃ¡rka-Jonae Miller,,
KDP,8/1/15,8/31/15,3784,19.44941,USD,US,,,,,B00GJ1XZSS,,Kindle Edition Normalized Pages (KENP) Read,,,, 19.45 ,Between Boyfriends,SÃ¡rka-Jonae Miller,,
KDP,8/1/15,8/31/15,16,108.85,USD,US,,,,,B00H4EICT6,70%,Standard,9.92,,, 108.85 ,The River Valley Trilogy,Tess Thompson,,
KDP,8/1/15,8/31/15,1590,8.17245293,USD,US,,,,,B00H7ML3FA,,Kindle Edition Normalized Pages (KENP) Read,,,, 8.17 ,Between the Sheets,SÃ¡rka-Jonae Miller,,
KDP,8/1/15,8/31/15,77,26.95,USD,US,,,,,B00HAHFDO4,35%,Standard,0.99,,, 26.95 ,Swimming Upstream,Ruth Mancini,,
KDP,8/1/15,8/31/15,17,34.68,USD,US,,,,,B00HAHFDO4,70%,Standard,2.99,,, 34.68 ,Swimming Upstream,Ruth Mancini,,
KDP,8/1/15,8/31/15,12737,65.4670019,USD,US,,,,,B00HAHFDO4,,Kindle Edition Normalized Pages (KENP) Read,,,, 65.47 ,Swimming Upstream,Ruth Mancini,,
KDP,8/1/15,8/31/15,3,6.3,USD,US,,,,,B00HRCI56K,35%,Standard,5.99,,, 6.30 ,Seasons' End,Will North,,
KDP,8/1/15,8/31/15,165,681.89,USD,US,,,,,B00HRCI56K,70%,Standard,5.97,,, 681.89 ,Seasons' End,Will North,,
KDP,8/1/15,8/31/15,18,57.42,USD,US,,,,,B00I4XAMB2,70%,Standard,4.99,,, 57.42 ,The Girls: Sappho Goes to Hollywood,Diana McLellan,,
KDP,8/1/15,8/31/15,9,30.69,USD,US,,,,,B00I9UQE26,70%,Standard,4.96,,, 30.69 ,Arielle Immortal Awakening,Lilian Roberts,,
KDP,8/1/15,8/31/15,5981,30.74178678,USD,US,,,,,B00I9UQE26,,Kindle Edition Normalized Pages (KENP) Read,,,, 30.74 ,Arielle Immortal Awakening,Lilian Roberts,,
KDP,8/1/15,8/31/15,1,2.88,USD,US,,,,,B00IH9TNGS,70%,Standard,4.33,,, 2.88 ,Project Northwoods,Jonathan Charles Bruce,,
KDP,8/1/15,8/31/15,2,3.94,USD,US,,,,,B00II40EFG,70%,Standard,2.99,,, 3.94 ,Zips Goes Wandering,Chris Marsh,,
KDP,8/1/15,8/31/15,5,10.2,USD,US,,,,,B00IIUX9I4,70%,Standard,2.99,,, 10.20 ,The Unintentional Time Traveler,Everett Maroon,,
KDP,8/1/15,8/31/15,10,20.5,USD,US,,,,,B00IPL70NG,70%,Standard,2.99,,, 20.50 ,Hard Justice,Mike McNeff,,
KDP,8/1/15,8/31/15,1170,6.01369177,USD,US,,,,,B00IPL70NG,,Kindle Edition Normalized Pages (KENP) Read,,,, 6.01 ,Hard Justice,Mike McNeff,,
KDP,8/1/15,8/31/15,1,4.1,USD,US,,,,,B00IZ1AWUY,70%,Standard,5.99,,, 4.10 ,Unbridled Hearts Collection,Heather Huffman,,
KDP,8/1/15,8/31/15,2,6.88,USD,US,,,,,B00IZNNXAS,70%,Standard,4.99,,, 6.88 ,Arielle Immortal Seduction,Lilian Roberts,,
KDP,8/1/15,8/31/15,1457,7.48884523,USD,US,,,,,B00IZNNXAS,,Kindle Edition Normalized Pages (KENP) Read,,,, 7.49 ,Arielle Immortal Seduction,Lilian Roberts,,
KDP,8/1/15,8/31/15,1,4.81,USD,US,,,,,B00J4YIKN2,70%,Standard,6.99,,, 4.81 ,Memoirs Collection,Marni Mann,,
KDP,8/1/15,8/31/15,3,8.28,USD,US,,,,,B00J6ELEX8,70%,Standard,3.99,,, 8.28 ,Is This All There Is?,Patricia Mann,,
KDP,8/1/15,8/31/15,2977,15.30150464,USD,US,,,,,B00J6ELEX8,,Kindle Edition Normalized Pages (KENP) Read,,,, 15.30 ,Is This All There Is?,Patricia Mann,,
KDP,8/1/15,8/31/15,1,0.66,USD,US,,,,,B00J6ELEX8,70% - promo,Kindle Countdown Deals,3.99,,, 0.66 ,Is This All There Is?,Patricia Mann,,
KDP,8/1/15,8/31/15,4,10.96,USD,US,,,,,B00J8OLGUW,70%,Standard,3.99,,, 10.96 ,Enlightened,A.L. Waddington,,
KDP,8/1/15,8/31/15,5,17.2,USD,US,,,,,B00J9U9OZO,70%,Standard,4.99,,, 17.20 ,Memory Tower,Terry Persun,,
