Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Revenue [USD],Unit revenue,Title,Author,Imprints
Scribd,3/1/15,3/31/15,,1.5,usd,United States,,9781620150337,,,,,,2.99,,1.5,,Memoirs Aren't Fairytales: A Story of Addiction,Marni Mann,Booktrope Publishing
Scribd,3/1/15,3/31/15,,1.5,usd,United States,,9781620150337,,,,,,2.99,,1.5,,Memoirs Aren't Fairytales: A Story of Addiction,Marni Mann,Booktrope Publishing
Scribd,3/1/15,3/31/15,,1.45,usd,United Kingdom,,9781620150191,,,,,,2.9,,1.45,,Riversong,,
Scribd,3/1/15,3/31/15,,1.45,usd,United States,,9781620150191,,,,,,2.9,,1.45,,Riversong,,
Scribd,3/1/15,3/31/15,,1.45,usd,United States,,9781620150191,,,,,,2.9,,1.45,,Riversong,,
Scribd,3/1/15,3/31/15,,1.5,usd,United States,,9781620150283,,,,,,2.99,,1.5,,Throwaway,Heather Huffman,Booktrope Publishing
Scribd,3/1/15,3/31/15,,1.5,usd,United States,,9781620150436,,,,,,2.99,,1.5,,Ring of Fire,Heather Huffman,Booktrope Publishing
Scribd,2/1/15,2/28/15,,4.5,usd,Viet Nam,,9781620150931,,,,,,8.99,,4.5,,The Art of Selling Real Estate,,
Scribd,2/1/15,2/28/15,,4.5,usd,United States,,9781620150931,,,,,,8.99,,4.5,,The Art of Selling Real Estate,,
Scribd,2/1/15,2/28/15,,2.5,usd,Brazil,,9781620150016,,,,,,4.99,,2.5,,Invisible Ink,Brian McDonald,Booktrope Publishing
Scribd,2/1/15,2/28/15,,2.5,usd,United States,,9781620150016,,,,,,4.99,,2.5,,Invisible Ink,Brian McDonald,Booktrope Publishing
Scribd,2/1/15,2/28/15,,2,usd,United States,,9781620150351,,,,,,3.99,,2,,How to Market a Book ,Lori Cullwell; Lori Culwell; Katherine Sears,Booktrope Publishing
Scribd,2/1/15,2/28/15,,1.5,usd,India,,9781620151037,,,,,,2.99,,1.5,,Dizzy in Karachi: A Journey to Pakistan,Maliha Masood,Booktrope Publishing
Scribd,2/1/15,2/28/15,,1.5,usd,United States,,9781620150337,,,,,,2.99,,1.5,,Memoirs Aren't Fairytales: A Story of Addiction,Marni Mann,Booktrope Publishing
Scribd,2/1/15,2/28/15,,1.5,usd,Canada,,9781620150337,,,,,,2.99,,1.5,,Memoirs Aren't Fairytales: A Story of Addiction,Marni Mann,Booktrope Publishing
Scribd,2/1/15,2/28/15,,1.5,usd,United States,,9781620150337,,,,,,2.99,,1.5,,Memoirs Aren't Fairytales: A Story of Addiction,Marni Mann,Booktrope Publishing
Scribd,2/1/15,2/28/15,,1.5,usd,United States,,9781620150337,,,,,,2.99,,1.5,,Memoirs Aren't Fairytales: A Story of Addiction,Marni Mann,Booktrope Publishing
Scribd,2/1/15,2/28/15,,1.45,usd,United States,,9781620150191,,,,,,2.9,,1.45,,Riversong,,
Scribd,2/1/15,2/28/15,,1.45,usd,United States,,9781620150191,,,,,,2.9,,1.45,,Riversong,,
Scribd,2/1/15,2/28/15,,1.45,usd,United States,,9781620150191,,,,,,2.9,,1.45,,Riversong,,
Scribd,2/1/15,2/28/15,,1.5,usd,United States,,9781620150283,,,,,,2.99,,1.5,,Throwaway,Heather Huffman,Booktrope Publishing
Scribd,2/1/15,2/28/15,,2,usd,Canada,,9781620150689,,,,,,3.99,,2,,Scars from a Memoir,Marni Mann,Booktrope Publishing
Scribd,2/1/15,2/28/15,,2,usd,United States,,9781620150689,,,,,,3.99,,2,,Scars from a Memoir,Marni Mann,Booktrope Publishing
Scribd,2/1/15,2/28/15,,1.5,usd,United States,,9781620152386,,,,,,2.99,,1.5,,Riverbend,,
Scribd,2/1/15,2/28/15,,1.5,usd,United States,,9781620151228,,,,,,2.99,,1.5,,A Sliver of Hope,Karla J. Nellenbach,Booktrope Publishing
Scribd,1/1/15,1/31/15,,2.5,usd,United Kingdom,,9781620150016,,,,,,4.99,,2.5,,Invisible Ink,Brian McDonald,Booktrope Publishing
Scribd,1/1/15,1/31/15,,1.5,usd,Mexico,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,Booktrope Publishing
Scribd,1/1/15,1/31/15,,1.5,usd,China,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,Booktrope Publishing
Scribd,1/1/15,1/31/15,,1.5,usd,United Arab Emirates,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,Booktrope Publishing
Scribd,1/1/15,1/31/15,,1.5,usd,Ghana,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,Booktrope Publishing
Scribd,1/1/15,1/31/15,,1.5,usd,United States,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,Booktrope Publishing
Scribd,1/1/15,1/31/15,,1.5,usd,United States,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,Booktrope Publishing
Scribd,1/1/15,1/31/15,,2,usd,United States,,9781620150054,,,,,,3.99,,2,,The Golden Theme,Brian McDonald,Booktrope Publishing
Scribd,1/1/15,1/31/15,,1.5,usd,United States,,9781620150337,,,,,,2.99,,1.5,,Memoirs Aren't Fairytales: A Story of Addiction,Marni Mann,Booktrope Publishing
Scribd,1/1/15,1/31/15,,1.5,usd,United States,,9781620150337,,,,,,2.99,,1.5,,Memoirs Aren't Fairytales: A Story of Addiction,Marni Mann,Booktrope Publishing
Scribd,1/1/15,1/31/15,,1.5,usd,United States,,9781620150337,,,,,,2.99,,1.5,,Memoirs Aren't Fairytales: A Story of Addiction,Marni Mann,Booktrope Publishing
Scribd,1/1/15,1/31/15,,1.5,usd,United States,,9781620150337,,,,,,2.99,,1.5,,Memoirs Aren't Fairytales: A Story of Addiction,Marni Mann,Booktrope Publishing
